"Payload(Bytes)" "PCIe Write BW" "PCIe Write Trans/s" "PCIe Read BW" "PCIe Read Trans/s" "PCIe Read/Write BW" "PCIe Read/Write Trans/s" "40G Ethernet BW" "40G Ethernet PPS" 
125 48.56 48561045.0 49.90 49900660.0 41.82 41824252.6 34.48 34482758
126 48.62 48237304.7 49.96 49558874.7 41.92 41583883.4 34.52 34246575
127 48.68 47917852.3 50.01 49221739.5 42.01 41346261.2 34.56 34013605
128 48.75 47602603.3 50.06 48889160.2 42.10 41111339.2 34.59 33783783
129 48.80 47291475.2 50.11 48561045.0 42.19 40879071.8 34.63 33557046
130 48.86 46984387.7 50.17 48237304.7 42.28 40649414.1 34.67 33333333
131 48.92 46681262.6 50.22 47917852.3 42.36 40422322.4 34.70 33112582
132 48.98 46382023.7 50.27 47602603.3 42.45 40197753.9 34.74 32894736
133 49.04 46086596.8 50.32 47291475.2 42.53 39975666.9 34.77 32679738
134 49.09 45794909.5 50.37 46984387.7 42.62 39756020.3 34.81 32467532
135 49.15 45506891.2 50.42 46681262.6 42.70 39538774.3 34.84 32258064
136 49.20 45222473.1 50.46 46382023.7 42.78 39323889.7 34.87 32051282
137 49.26 44941588.2 50.51 46086596.8 42.87 39111328.1 34.90 31847133
138 49.31 44664171.0 50.56 45794909.5 42.95 38901052.2 34.94 31645569
139 49.36 44390157.7 50.60 45506891.2 43.03 38693025.2 34.97 31446540
140 49.41 44119486.0 50.65 45222473.1 43.11 38487211.2 35.00 31250000
141 49.47 43852095.2 50.69 44941588.2 43.18 38283575.1 35.03 31055900
142 49.52 43587925.9 50.74 44664171.0 43.26 38082082.6 35.06 30864197
143 49.57 43326920.4 50.78 44390157.7 43.34 37882700.0 35.09 30674846
144 49.62 43069022.0 50.83 44119486.0 43.41 37685394.3 35.12 30487804
145 49.66 42814175.8 50.87 43852095.2 43.49 37490133.2 35.15 30303030
146 49.71 42562327.7 50.91 43587925.9 43.56 37296885.1 35.18 30120481
147 49.76 42313425.2 50.95 43326920.4 43.64 37105619.0 35.21 29940119
148 49.81 42067416.9 50.99 43069022.0 43.71 36916304.6 35.24 29761904
149 49.85 41824252.6 51.03 42814175.8 43.78 36728912.2 35.27 29585798
150 49.90 41583883.4 51.07 42562327.7 43.85 36543412.6 35.29 29411764
151 49.95 41346261.2 51.11 42313425.2 43.92 36359777.4 35.32 29239766
152 49.99 41111339.2 51.15 42067416.9 43.99 36177978.5 35.35 29069767
153 50.04 40879071.8 51.19 41824252.6 44.06 35997988.6 35.38 28901734
154 50.08 40649414.1 51.23 41583883.4 44.13 35819780.7 35.40 28735632
155 50.12 40422322.4 51.27 41346261.2 44.20 35643328.6 35.43 28571428
156 50.17 40197753.9 51.31 41111339.2 44.26 35468606.4 35.45 28409090
157 50.21 39975666.9 51.34 40879071.8 44.33 35295588.8 35.48 28248587
158 50.25 39756020.3 51.38 40649414.1 44.40 35124251.0 35.51 28089887
159 50.29 39538774.3 51.42 40422322.4 44.46 34954568.6 35.53 27932960
160 50.33 39323889.7 51.45 40197753.9 44.53 34786517.8 35.56 27777777
161 50.38 39111328.1 51.49 39975666.9 44.59 34620075.1 35.58 27624309
162 50.42 38901052.2 51.52 39756020.3 44.65 34455217.6 35.60 27472527
163 50.46 38693025.2 51.56 39538774.3 44.72 34291922.8 35.63 27322404
164 50.50 38487211.2 51.59 39323889.7 44.78 34130168.4 35.65 27173913
165 50.53 38283575.1 51.63 39111328.1 44.84 33969932.9 35.68 27027027
166 50.57 38082082.6 51.66 38901052.2 44.90 33811194.9 35.70 26881720
167 50.61 37882700.0 51.69 38693025.2 44.96 33653933.5 35.72 26737967
168 50.65 37685394.3 51.73 38487211.2 45.02 33498128.3 35.74 26595744
169 50.69 37490133.2 51.76 38283575.1 45.08 33343759.0 35.77 26455026
170 50.72 37296885.1 51.79 38082082.6 45.14 33190806.0 35.79 26315789
171 50.76 37105619.0 51.82 37882700.0 45.20 33039249.8 35.81 26178010
172 50.80 36916304.6 51.86 37685394.3 45.26 32889071.4 35.83 26041666
173 50.83 36728912.2 51.89 37490133.2 45.31 32740252.1 35.85 25906735
174 50.87 36543412.6 51.92 37296885.1 45.37 32592773.4 35.88 25773195
175 50.90 36359777.4 51.95 37105619.0 45.43 32446617.5 35.90 25641025
176 50.94 36177978.5 51.98 36916304.6 45.48 32301766.5 35.92 25510204
177 50.97 35997988.6 52.01 36728912.2 45.54 32158203.1 35.94 25380710
178 51.01 35819780.7 52.04 36543412.6 45.59 32015910.2 35.96 25252525
179 51.04 35643328.6 52.07 36359777.4 45.64 31874870.9 35.98 25125628
180 51.07 35468606.4 52.10 36177978.5 45.70 31735068.9 36.00 25000000
181 51.11 35295588.8 52.13 35997988.6 45.75 31596487.8 36.02 24875621
182 51.14 35124251.0 52.15 35819780.7 45.80 31459111.8 36.04 24752475
183 51.17 34954568.6 52.18 35643328.6 45.86 31322925.1 36.06 24630541
184 51.21 34786517.8 52.21 35468606.4 45.91 31187912.5 36.08 24509803
185 51.24 34620075.1 52.24 35295588.8 45.96 31054058.8 36.10 24390243
186 51.27 34455217.6 52.26 35124251.0 46.01 30921349.2 36.12 24271844
187 51.30 34291922.8 52.29 34954568.6 46.06 30789769.0 36.14 24154589
188 51.33 34130168.4 52.32 34786517.8 46.11 30659303.8 36.15 24038461
189 51.36 33969932.9 52.35 34620075.1 46.16 30529939.7 36.17 23923444
190 51.39 33811194.9 52.37 34455217.6 46.21 30401662.6 36.19 23809523
191 51.42 33653933.5 52.40 34291922.8 46.26 30274459.0 36.21 23696682
192 51.45 33498128.3 52.42 34130168.4 46.31 30148315.4 36.23 23584905
193 51.48 33343759.0 52.45 33969932.9 46.36 30023218.7 36.24 23474178
194 51.51 33190806.0 52.47 33811194.9 46.40 29899155.8 36.26 23364485
195 51.54 33039249.8 52.50 33653933.5 46.45 29776114.0 36.28 23255813
196 51.57 32889071.4 52.53 33498128.3 46.50 29654080.8 36.30 23148148
197 51.60 32740252.1 52.55 33343759.0 46.54 29533043.7 36.31 23041474
198 51.63 32592773.4 52.57 33190806.0 46.59 29412990.7 36.33 22935779
199 51.66 32446617.5 52.60 33039249.8 46.64 29293909.7 36.35 22831050
200 51.68 32301766.5 52.62 32889071.4 46.68 29175789.1 36.36 22727272
201 51.71 32158203.1 52.65 32740252.1 46.73 29058617.3 36.38 22624434
202 51.74 32015910.2 52.67 32592773.4 46.77 28942382.8 36.40 22522522
203 51.76 31874870.9 52.69 32446617.5 46.82 28827074.5 36.41 22421524
204 51.79 31735068.9 52.72 32301766.5 46.86 28712681.4 36.43 22321428
205 51.82 31596487.8 52.74 32158203.1 46.90 28599192.5 36.44 22222222
206 51.84 31459111.8 52.76 32015910.2 46.95 28486597.3 36.46 22123893
207 51.87 31322925.1 52.78 31874870.9 46.99 28374885.1 36.48 22026431
208 51.90 31187912.5 52.81 31735068.9 47.03 28264045.7 36.49 21929824
209 51.92 31054058.8 52.83 31596487.8 47.07 28154068.9 36.51 21834061
210 51.95 30921349.2 52.85 31459111.8 47.12 28044944.6 36.52 21739130
211 51.97 30789769.0 52.87 31322925.1 47.16 27936662.9 36.54 21645021
212 52.00 30659303.8 52.89 31187912.5 47.20 27829214.2 36.55 21551724
213 52.02 30529939.7 52.92 31054058.8 47.24 27722588.9 36.57 21459227
214 52.05 30401662.6 52.94 30921349.2 47.28 27616777.5 36.58 21367521
215 52.07 30274459.0 52.96 30789769.0 47.32 27511770.7 36.60 21276595
216 52.10 30148315.4 52.98 30659303.8 47.36 27407559.5 36.61 21186440
217 52.12 30023218.7 53.00 30529939.7 47.40 27304134.7 36.62 21097046
218 52.14 29899155.8 53.02 30401662.6 47.44 27201487.6 36.64 21008403
219 52.17 29776114.0 53.04 30274459.0 47.48 27099609.4 36.65 20920502
220 52.19 29654080.8 53.06 30148315.4 47.52 26998491.4 36.67 20833333
221 52.21 29533043.7 53.08 30023218.7 47.56 26898125.3 36.68 20746887
222 52.24 29412990.7 53.10 29899155.8 47.59 26798502.6 36.69 20661157
223 52.26 29293909.7 53.12 29776114.0 47.63 26699615.1 36.71 20576131
224 52.28 29175789.1 53.14 29654080.8 47.67 26601454.8 36.72 20491803
225 52.31 29058617.3 53.16 29533043.7 47.71 26504013.6 36.73 20408163
226 52.33 28942382.8 53.18 29412990.7 47.74 26407283.6 36.75 20325203
